CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/15/2023,15:03,BRONX,10467,40.87184,-73.876076,"(40.87184, -73.876076)",,,3132      WEBSTER AVENUE,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,4688034,Station Wagon/Sport Utility Vehicle,Moped,,,
12/13/2023,19:48,,,40.68366,-73.90788,"(40.68366, -73.90788)",BUSHWICK AVENUE,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,4687084,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/13/2023,0:36,BRONX,10454,40.810474,-73.924034,"(40.810474, -73.924034)",,,343       EAST 139 STREET,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4686802,Sedan,,,,
12/14/2023,8:50,BROOKLYN,11203,40.655487,-73.94331,"(40.655487, -73.94331)",,,77        EAST 37 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4687770,Station Wagon/Sport Utility Vehicle,,,,
12/12/2023,7:52,BRONX,10464,40.873222,-73.80849,"(40.873222, -73.80849)",,,870       SHORE ROAD,0,0,0,0,0,0,0,0,Pavement Slippery,Other Vehicular,,,,4687909,Sedan,Sedan,,,
12/15/2023,0:35,,,40.887444,-73.878006,"(40.887444, -73.878006)",BAINBRIDGE AVENUE,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4688014,Sedan,Sedan,,,
12/14/2023,9:10,BROOKLYN,11206,40.699997,-73.95723,"(40.699997, -73.95723)",BEDFORD AVENUE,LYNCH STREET,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4687134,E-Bike,Bus,,,
12/13/2023,13:50,,,40.68218,-73.94659,"(40.68218, -73.94659)",MARCY AVENUE,,,1,0,1,0,0,0,0,0,Turning Improperly,,,,,4687413,,,,,
12/14/2023,13:27,MANHATTAN,10025,40.794735,-73.96988,"(40.794735, -73.96988)",AMSTERDAM AVENUE,WEST 97 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4687426,Taxi,Box Truck,,,
12/14/2023,12:00,,,40.588886,-73.965645,"(40.588886, -73.965645)",OCEAN PARKWAY,,,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,,,,4687257,Sedan,,,,
12/15/2023,17:00,BROOKLYN,11212,40.669518,-73.90784,"(40.669518, -73.90784)",,,138       WATKINS STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4687645,Sedan,,,,
12/15/2023,23:59,QUEENS,11368,40.74917,-73.86923,"(40.74917, -73.86923)",,,96-08     ROOSEVELT AVENUE,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,4687531,Sedan,Sedan,,,
12/13/2023,7:54,BROOKLYN,11212,40.667156,-73.9101,"(40.667156, -73.9101)",ROCKAWAY AVENUE,SUTTER AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4687193,Sedan,,,,
12/5/2023,13:00,MANHATTAN,10004,40.704964,-74.01172,"(40.704964, -74.01172)",,,33        BEAVER STREET,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4687680,Sedan,,,,
12/13/2023,14:00,,,40.749786,-73.98778,"(40.749786, -73.98778)",WEST 34 STREET,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4687793,Sedan,Sedan,,,
12/23/2023,3:39,,,40.78542,-73.98399,"(40.78542, -73.98399)",HENRY HUDSON PARKWAY,,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,4689526,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/21/2023,12:35,,,40.692345,-73.88179,"(40.692345, -73.88179)",JACKIE ROBINSON PKWY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4690050,Pick-up Truck,Pick-up Truck,,,
12/21/2023,22:32,,,40.760494,-73.8614,"(40.760494, -73.8614)",ASTORIA BOULEVARD,,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4689845,Sedan,MOPED,,,
12/16/2023,16:50,,,40.8037,-73.93582,"(40.8037, -73.93582)",EAST 125 STREET,,,1,0,1,0,0,0,0,0,Unspecified,,,,,4690100,Sedan,,,,
12/23/2023,14:50,MANHATTAN,10016,40.7441,-73.97637,"(40.7441, -73.97637)",EAST 33 STREET,2 AVENUE,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unsafe Speed,,,,4689521,Bike,E-Scooter,,,
12/23/2023,19:04,QUEENS,11411,40.69613,-73.74328,"(40.69613, -73.74328)",,,216-19    LINDEN BOULEVARD,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4689541,Sedan,,,,
12/13/2023,19:06,MANHATTAN,10027,40.81053,-73.96206,"(40.81053, -73.96206)",WEST 120 STREET,BROADWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4687250,Station Wagon/Sport Utility Vehicle,Moped,,,
12/13/2023,8:40,BROOKLYN,11220,40.646553,-74.01575,"(40.646553, -74.01575)",3 AVENUE,52 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4686922,Sedan,Sedan,,,
12/22/2023,12:58,,,40.76769,-73.93619,"(40.76769, -73.93619)",VERNON BOULEVARD,BROADWAY,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4690105,Sedan,Sedan,,,
12/23/2023,20:50,,,40.787117,-73.94793,"(40.787117, -73.94793)",3 AVENUE,,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4689591,,,,,
