year,ct2010,bbl,year_built,BldgClass,NumFloors,canopy_change_class,UnitsRes,ground_elevation,height_roof,weather_normalized_site_eui,tree_count,commercial_floor_flag,year_built_bracket,log_eui,sqrt_eui,log_tree_count,sqrt_tree_count
2010,13400,1014290013,1938,D4,6.0,No Change,84.0,45.0,65.61,79.4,13,0,Pre-1950,4.387014176184921,8.910667763978186,2.6390573296152584,3.605551275463989
2010,13400,1014520010,1940,D4,6.0,No Change,59.0,34.0,81.36,70.3,11,0,Pre-1950,4.26689632742025,8.384509526501834,2.4849066497880004,3.3166247903554
2010,13900,1010450037,1941,D4,6.0,No Change,62.0,71.0,63.9,62.2,13,0,Pre-1950,4.146304301152812,7.886697661252142,2.6390573296152584,3.605551275463989
2010,14602,1015500007,1959,D4,6.0,No Change,122.0,50.0,63.74,55.70000000000001,18,0,1950-1980,4.037774210733707,7.463243262818117,2.9444389791664403,4.242640687119285
2010,14602,1015510005,1929,D4,6.0,No Change,90.0,46.0,66.33,76.8,11,0,Pre-1950,4.354141431184346,8.763560920082657,2.4849066497880004,3.3166247903554
2010,14900,2026120058,1928,D7,6.0,No Change,56.0,84.0,67.67,118.9,5,1,Pre-1950,4.786658062033468,10.904127658827184,1.791759469228055,2.23606797749979
2010,14900,2026150008,1928,D1,6.0,No Change,56.0,93.0,64.85,102.8,7,0,Pre-1950,4.642465970731788,10.13903348450926,2.0794415416798357,2.6457513110645907
2010,14900,2026150065,1928,C1,5.0,No Change,60.0,100.0,54.46,89.7,10,0,Pre-1950,4.507557357121091,9.47100839404126,2.3978952727983707,3.1622776601683795
2010,14900,2029320004,1931,D1,6.0,No Change,83.0,81.0,65.84,29.5,5,0,Pre-1950,3.417726683613366,5.431390245600108,1.791759469228055,2.23606797749979
2010,15200,1015690010,1930,C1,6.0,No Change,66.0,31.0,58.38115167,82.2,6,0,Pre-1950,4.421247347827163,9.06642156531451,1.9459101490553132,2.449489742783178
2010,15200,1015860005,1942,D4,6.0,No Change,70.0,15.0,64.20864258,96.5,16,0,Pre-1950,4.579852378003801,9.82344135219425,2.833213344056216,4.0
2010,15200,1015860013,1942,D4,6.0,No Change,70.0,14.0,64.58377657,85.7,15,0,Pre-1950,4.462453883786496,9.257429448826494,2.772588722239781,3.872983346207417
2010,15200,1015860035,1942,D4,6.0,No Change,68.0,10.0,61.31970909,78.5,41,0,Pre-1950,4.375757021660286,8.860022573334675,3.7376696182833684,6.4031242374328485
2010,15300,2029640029,2001,D1,5.0,Gain,80.0,75.0,48.72,90.3,26,0,Post-1980,4.514150787600923,9.50263121456368,3.295836866004329,5.0990195135927845
2010,15300,2029650051,2005,D7,6.0,Gain,95.0,75.0,62.42917389,101.3,20,1,Post-1980,4.627909672957581,10.064790112068906,3.044522437723423,4.47213595499958
2010,15400,1015560017,1920,D3,5.0,No Change,94.0,12.0,58.91,64.7,15,0,Pre-1950,4.185098925490565,8.043631020876083,2.772588722239781,3.872983346207417
2010,15900,2027240101,1915,D7,6.0,Gain,44.0,48.0,14.68,82.2,4,1,Pre-1950,4.421247347827163,9.06642156531451,1.6094379124341003,2.0
2010,16100,2029910030,1991,D3,6.0,No Change,76.0,83.0,56.19,97.8,16,0,Post-1980,4.593097604753822,9.889388252060893,2.833213344056216,4.0
2010,16700,2029290024,1928,D1,6.0,No Change,49.0,78.0,69.42,118.09999999999998,17,0,Pre-1950,4.779963476361254,10.867382389517726,2.8903717578961645,4.123105625617661
2010,16700,2029290028,1927,C1,5.0,No Change,46.0,79.0,64.74,96.8,13,0,Pre-1950,4.582924577040772,9.838699100999074,2.6390573296152584,3.605551275463989
2010,16700,2029290031,1927,C1,5.0,No Change,47.0,77.0,66.74,103.8,13,0,Pre-1950,4.6520537718869415,10.188228501560022,2.6390573296152584,3.605551275463989
2010,16700,2029290035,1906,C1,5.0,Gain,21.0,75.0,67.41164036,96.09999999999998,11,0,Pre-1950,4.575741375297279,9.803060746521975,2.4849066497880004,3.3166247903554
2010,16700,2029290078,1927,C1,5.0,No Change,42.0,80.0,62.015588560000005,122.2,15,0,Pre-1950,4.81380905109942,11.054410884348384,2.772588722239781,3.872983346207417
2010,16900,1012150056,1950,D4,6.0,No Change,60.0,89.0,66.65,63.6,13,0,1950-1980,4.168214410788556,7.974960814950754,2.6390573296152584,3.605551275463989
2010,17100,1012450080,1949,D4,6.0,No Change,41.0,58.0,68.14,88.6,14,0,Pre-1950,4.4953553199808844,9.412757300600074,2.70805020110221,3.7416573867739413
