2024,Mercedes-Benz,Mercedes-Benz,EQS 450 4MATIC (SUV),MBX,917,0.0,,Auto(A1),84,82,83,115.6,112,113.9518,84,82,83,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,330,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,900,900,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,1/18/2024,34373,,,N,,,N,N,,,,,,,,Battery(s),,12,Lithium Ion,,396,308,171.3,On-Board,,,Electrical Regen Brake,,Both,Y,,,,EQS 450 4MATIC (SUV): AC 3 Phase permanent magnet = 88 KW/ AC 6 Phase permanent magnet = 178 KW / EQS 580 4MATIC (SUV): AC 3 Phase permanent magnet = 135 KW/ AC 6 Phase permanent magnet = 265 KW,2,Other,AC 3 Phase permanent magnet,135 and 265,,,,,N,Y,,,Y,Yes,EQS 450 4MATIC (SUV),,,,,,,,,,9,10,,RMBXT00.0ED2,10,,,,,,,,,,,,,,,5250,,0,0,0,,14,,,,,,335,324,330,
2024,Mercedes-Benz,Mercedes-Benz,EQS 450 4MATIC (SUV),MBX,917,0.0,,Auto(A1),40,41,41,29.1578,30.1029,29.5831,40,41,41,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,330,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,900,900,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,1/18/2024,34373,,,N,,,N,N,,,,,,,,Battery(s),,12,Lithium Ion,,396,308,171.3,On-Board,,,Electrical Regen Brake,,Both,Y,,,,EQS 450 4MATIC (SUV): AC 3 Phase permanent magnet = 88 KW/ AC 6 Phase permanent magnet = 178 KW / EQS 580 4MATIC (SUV): AC 3 Phase permanent magnet = 135 KW/ AC 6 Phase permanent magnet = 265 KW,2,Other,AC 3 Phase permanent magnet,135 and 265,,,,,N,Y,,,Y,Yes,EQS 450 4MATIC (SUV),,,,,,,,,,9,10,,RMBXT00.0ED2,10,,,,,,,,,,,,,,,5250,,0,0,0,,14,,,,,,335,324,330,
,,,,,,,,,,,,2024 Mercedes EQS 580 4MATIC (SUV),,,,,,,,,,,,,,,,,2024 Mercedes EQS 580 4MATIC (SUV),,,,,,,,,,,,,,,,2024 Mercedes EQS 580 4MATIC (SUV),,,,,,,,,,,,,,,2024 Mercedes EQS 580 4MATIC (SUV),,,,,,,,,,,,,, ,,2024 Mercedes EQS 580 4MATIC (SUV),,,,,, ,,,,,,,,,,2024 Mercedes EQS 580 4MATIC (SUV),,,,,,,,,,,,,,,,,2024 Mercedes EQS 580 4MATIC (SUV),,,,,,,,,,,,,,,,,2024 Mercedes EQS 580 4MATIC (SUV),,,,,,,,,,,,,, ,2024 Mercedes EQS 580 4MATIC (SUV),,,,,,,,,,,,,,,2024 Mercedes EQS 580 4MATIC (SUV),,,,,,,,,
2024,Mercedes-Benz,Mercedes-Benz,EQS 580 4MATIC (SUV),MBX,918,0.0,,Auto(A1),85,81,83,118.9,113.3,116.313,85,81,83,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,330,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,900,900,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,1/18/2024,34374,,,N,,,N,N,,,,,,,,Battery(s),,12,Lithium Ion,,396,308,171.3,On-Board,,,Electrical Regen Brake,,Both,Y,,,,EQS 450 4MATIC (SUV): AC 3 Phase permanent magnet = 88 KW/ AC 6 Phase permanent magnet = 178 KW / EQS 580 4MATIC (SUV): AC 3 Phase permanent magnet = 135 KW/ AC 6 Phase permanent magnet = 265 KW,2,Other,AC 3 Phase permanent magnet,135 and 265,,,,,N,Y,,,Y,Yes,EQS 580 4MATIC (SUV),,,,,,,,,,9,10,,RMBXT00.0ED2,10,,,,,,,,,,,,,,,5250,,0,0,0,,14,,,,,,337,321,330,
2024,Mercedes-Benz,Mercedes-Benz,EQS 580 4MATIC (SUV),MBX,918,0.0,,Auto(A1),40,42,41,28.3356,29.756,28.9748,40,42,41,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,330,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,900,900,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,1/18/2024,34374,,,N,,,N,N,,,,,,,,Battery(s),,12,Lithium Ion,,396,308,171.3,On-Board,,,Electrical Regen Brake,,Both,Y,,,,EQS 450 4MATIC (SUV): AC 3 Phase permanent magnet = 88 KW/ AC 6 Phase permanent magnet = 178 KW / EQS 580 4MATIC (SUV): AC 3 Phase permanent magnet = 135 KW/ AC 6 Phase permanent magnet = 265 KW,2,Other,AC 3 Phase permanent magnet,135 and 265,,,,,N,Y,,,Y,Yes,EQS 580 4MATIC (SUV),,,,,,,,,,9,10,,RMBXT00.0ED2,10,,,,,,,,,,,,,,,5250,,0,0,0,,14,,,,,,337,321,330,
,,,,,,,,,,,,2024 Mercedes EQS 680 4MATIC Maybach (SUV),,,,,,,,,,,,,,,,,2024 Mercedes EQS 680 4MATIC Maybach (SUV),,,,,,,,,,,,,,,,2024 Mercedes EQS 680 4MATIC Maybach (SUV),,,,,,,,,,,,,,,2024 Mercedes EQS 680 4MATIC Maybach (SUV),,,,,,,,,,,,,, ,,2024 Mercedes EQS 680 4MATIC Maybach (SUV),,,,,, ,,,,,,,,,,2024 Mercedes EQS 680 4MATIC Maybach (SUV),,,,,,,,,,,,,,,,,2024 Mercedes EQS 680 4MATIC Maybach (SUV),,,,,,,,,,,,,,,,,2024 Mercedes EQS 680 4MATIC Maybach (SUV),,,,,,,,,,,,,, ,2024 Mercedes EQS 680 4MATIC Maybach (SUV),,,,,,,,,,,,,,,2024 Mercedes EQS 680 4MATIC Maybach (SUV),,,,,,,,,
2024,Mercedes-Benz,Mercedes-Benz,EQS 680 4MATIC Maybach (SUV),MBX,992,0.0,,Auto(A1),81,81,81,107.2,107.8,107.4692,81,81,81,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,321,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,950,950,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,########,34411,,,N,,,N,N,,,,,,,,Battery(s),,12,Lithium Ion,,396,308,171.3,On-Board,,,Electrical Regen Brake,,Both,Y,,,,,2,Other,AC 6 Phase permanent magnet,174 and 310,,,,,N,Y,,,Y,Yes,EQS 680 4MATIC Maybach (SUV),,,,,,,,,,9,10,,RMBXT00.0ED4,10,,,,,,,,,,,,,,,4000,,0,0,0,,14,,,,,,320,322,321,
2024,Mercedes-Benz,Mercedes-Benz,EQS 680 4MATIC Maybach (SUV),MBX,992,0.0,,Auto(A1),42,41,42,31.4406,31.28,31.3683,42,40.8229,42,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,321,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,950,950,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,########,34411,,,N,,,N,N,,,,,,,,Battery(s),,12,Lithium Ion,,396,308,171.3,On-Board,,,Electrical Regen Brake,,Both,Y,,,,,2,Other,AC 3 Phase permanent magnet,174 and 310,,,,,N,Y,,,Y,Yes,EQS 680 4MATIC Maybach (SUV),,,,,,,,,,9,10,,RMBXT00.0ED4,10,,,,,,,,,,,,,,,4000,,0,0,0,,14,,,,,,320,322,321,
,,,,,,,,,,,,2024 Mercedes AMG EQE 4MATIC+ (SUV),,,,,,,,,,,,,,,,,2024 Mercedes AMG EQE 4MATIC+ (SUV),,,,,,,,,,,,,,,,2024 Mercedes AMG EQE 4MATIC+ (SUV),,,,,,,,,,,,,,,2024 Mercedes AMG EQE 4MATIC+ (SUV),,,,,,,,,,,,,, ,,2024 Mercedes AMG EQE 4MATIC+ (SUV),,,,,, ,,,,,,,,,,2024 Mercedes AMG EQE 4MATIC+ (SUV),,,,,,,,,,,,,,,,,2024 Mercedes AMG EQE 4MATIC+ (SUV),,,,,,,,,,,,,,,,,2024 Mercedes AMG EQE 4MATIC+ (SUV),,,,,,,,,,,,,, ,2024 Mercedes AMG EQE 4MATIC+ (SUV),,,,,,,,,,,,,,,2024 Mercedes AMG EQE 4MATIC+ (SUV),,,,,,,,,
2024,Mercedes-Benz,Mercedes-Benz,AMG EQE 4MATIC+ (SUV),MBX,922,0.0,,Auto(A1),77,71,74,108.5,100.7,104.8455,78.5757,72.9269,75.9291,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,235,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,107,23,,,1050,1050,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,5/25/2023,33290,,,N,,,N,N,,,,,,,,Battery(s),,10,Lithium Ion,,328,292,172.5,On-Board,,,Electrical Regen Brake,,Both,Y,,,,,2,Other,AC 3 Phase permanent magnet,165 and 295,,,,,N,Y,,,Y,Yes,AMG EQE 4MATIC (SUV),,,,,,,,,,9,10,,RMBXV00.0E12,10,,,,,,,,,,,,,,,4500,,0,0,0,,10.75,,,,,,243,225,235,
2024,Mercedes-Benz,Mercedes-Benz,AMG EQE 4MATIC+ (SUV),MBX,922,0.0,,Auto(A1),44,48,46,31.061,33.4639,32.1423,42.8949,46.2175,44.3901,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,235,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,107,23,,,1050,1050,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,5/25/2023,33290,,,N,,,N,N,,,,,,,,Battery(s),,10,Lithium Ion,,328,292,172.5,On-Board,,,Electrical Regen Brake,,Both,Y,,,,,2,Other,AC 6 Phase permanent magnet,165 and 295,,,,,N,Y,,,Y,Yes,AMG EQE 4MATIC (SUV),,,,,,,,,,9,10,,RMBXV00.0E12,10,,,,,,,,,,,,,,,4500,,0,0,0,,10.75,,,,,,243,225,235,
,,,,,,,,,,,,2024 Mercedes AMG EQE 4MATIC+,,,,,,,,,,,,,,,,,2024 Mercedes AMG EQE 4MATIC+,,,,,,,,,,,,,,,,2024 Mercedes AMG EQE 4MATIC+,,,,,,,,,,,,,,,2024 Mercedes AMG EQE 4MATIC+,,,,,,,,,,,,,, ,,2024 Mercedes AMG EQE 4MATIC+,,,,,, ,,,,,,,,,,2024 Mercedes AMG EQE 4MATIC+,,,,,,,,,,,,,,,,,2024 Mercedes AMG EQE 4MATIC+,,,,,,,,,,,,,,,,,2024 Mercedes AMG EQE 4MATIC+,,,,,,,,,,,,,, ,2024 Mercedes AMG EQE 4MATIC+,,,,,,,,,,,,,,,2024 Mercedes AMG EQE 4MATIC+,,,,,,,,,
2024,Mercedes-Benz,Mercedes-Benz,AMG EQE 4MATIC+,MBX,909,0.0,,Auto(A1),73,74,73,99.3,100.8,99.9694,73,74,73,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,230,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,101,11,,,1050,1050,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 2-cycle label,9/5/2023,33783,,,N,,,N,N,,,,,,,,Battery(s),,10,Lithium Ion,,328,292,172.5,On-Board,,,Electrical Regen Brake,,Both,Y,,,,,2,Other,AC 3 Phase permanent magnet,165 and 165,,,,,N,Y,,,Y,Yes,AMG EQE 4MATIC+,,,,,,,,,,9,10,,RMBXV00.0ED9,10,,,,,,,,,,,,,,,4500,,0,0,0,,10.5,,,,,,230,230,230,
2024,Mercedes-Benz,Mercedes-Benz,AMG EQE 4MATIC+,MBX,909,0.0,,Auto(A1),46,46,46,33.956,33.446,33.7265,46,46,46,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,230,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,101,11,,,1050,1050,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 2-cycle label,9/5/2023,33783,,,N,,,N,N,,,,,,,,Battery(s),,10,Lithium Ion,,328,292,172.5,On-Board,,,Electrical Regen Brake,,Both,Y,,,,,2,Other,AC 3 Phase permanent magnet,165 and 165,,,,,N,Y,,,Y,Yes,AMG EQE 4MATIC+,,,,,,,,,,9,10,,RMBXV00.0ED9,10,,,,,,,,,,,,,,,4500,,0,0,0,,10.5,,,,,,230,230,230,
,,,,,,,,,,,,2024 Mercedes EQE 350 4MATIC,,,,,,,,,,,,,,,,,2024 Mercedes EQE 350 4MATIC,,,,,,,,,,,,,,,,2024 Mercedes EQE 350 4MATIC,,,,,,,,,,,,,,,2024 Mercedes EQE 350 4MATIC,,,,,,,,,,,,,, ,,2024 Mercedes EQE 350 4MATIC,,,,,, ,,,,,,,,,,2024 Mercedes EQE 350 4MATIC,,,,,,,,,,,,,,,,,2024 Mercedes EQE 350 4MATIC,,,,,,,,,,,,,,,,,2024 Mercedes EQE 350 4MATIC,,,,,,,,,,,,,, ,2024 Mercedes EQE 350 4MATIC,,,,,,,,,,,,,,,2024 Mercedes EQE 350 4MATIC,,,,,,,,,
2024,Mercedes-Benz,Mercedes-Benz,EQE 350 4MATIC,MBX,911,0.0,,Auto(A1),86,96,90,121.9,136.7,128.1431,86,96,90,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,280,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,101,11,,,850,850,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 2-cycle label,10/13/2023,34019,,,N,,,N,N,,,,,,,,Battery(s),,10,Lithium Ion,,330,290,159.2,On-Board,,,Electrical Regen Brake,,Both,Y,,,,,2,Other,AC 6 Phase permanent magnet,72 and 144,,,,,N,Y,,,Y,Yes,EQE 350 4MATIC,,,,,,,,,,9,10,,RMBXV00.0ED8,10,,,,,,,,,,,,,,,5500,,0,0,0,,10.5,,,,,,266,297,280,
2024,Mercedes-Benz,Mercedes-Benz,EQE 350 4MATIC,MBX,911,0.0,,Auto(A1),39,35,37,27.6525,24.6539,26.3031,39,35,37,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,280,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,101,11,,,850,850,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 2-cycle label,10/13/2023,34019,,,N,,,N,N,,,,,,,,Battery(s),,10,Lithium Ion,,330,290,159.2,On-Board,,,Electrical Regen Brake,,Both,Y,,,,,2,Other,AC 3 Phase permanent magnet,72 and 144,,,,,N,Y,,,Y,Yes,EQE 350 4MATIC,,,,,,,,,,9,10,,RMBXV00.0ED8,10,,,,,,,,,,,,,,,5500,,0,0,0,,10.5,,,,,,266,297,280,
,,,,,,,,,,,,2024 Mercedes EQE 350+,,,,,,,,,,,,,,,,,2024 Mercedes EQE 350+,,,,,,,,,,,,,,,,2024 Mercedes EQE 350+,,,,,,,,,,,,,,,2024 Mercedes EQE 350+,,,,,,,,,,,,,, ,,2024 Mercedes EQE 350+,,,,,, ,,,,,,,,,,2024 Mercedes EQE 350+,,,,,,,,,,,,,,,,,2024 Mercedes EQE 350+,,,,,,,,,,,,,,,,,2024 Mercedes EQE 350+,,,,,,,,,,,,,, ,2024 Mercedes EQE 350+,,,,,,,,,,,,,,,2024 Mercedes EQE 350+,,,,,,,,,
2024,Mercedes-Benz,Mercedes-Benz,EQE 350+,MBX,910,0.0,,Auto(A1),98,94,96,141.4,136.1,138.9648,98,94,96,,,,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",,,298,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,101,11,,,800,800,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 2-cycle label,9/30/2023,33926,,,N,,,N,N,,,,,,,,Battery(s),,10,Lithium Ion,,330,290,159.2,On-Board,,,Electrical Regen Brake,,Rear Wheels,Y,,,,,1,Other,AC 6 Phase permanent magnet,215,,,,,N,Y,,,Y,Yes,EQE 350+,,,,,,,,,,10,10,,RMBXV00.0ED7,10,,,,,,,,,,,,,,,5750,,0,0,0,,10.5,,,,,,302,293,298,
2024,Mercedes-Benz,Mercedes-Benz,EQE 350+,MBX,910,0.0,,Auto(A1),35,36,35,23.8397,24.7598,24.2538,35,36,34.6491,,,,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",,,298,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,101,11,,,800,800,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 2-cycle label,9/30/2023,33926,,,N,,,N,N,,,,,,,,Battery(s),,10,Lithium Ion,,330,290,159.2,On-Board,,,Electrical Regen Brake,,Rear Wheels,Y,,,,,1,Other,AC 6 Phase permanent magnet,215,,,,,N,Y,,,Y,Yes,EQE 350+,,,,,,,,,,10,10,,RMBXV00.0ED7,10,,,,,,,,,,,,,,,5750,,0,0,0,,10.5,,,,,,302,293,298,
,,,,,,,,,,,,2024 Mercedes EQE 500 4MATIC,,,,,,,,,,,,,,,,,2024 Mercedes EQE 500 4MATIC,,,,,,,,,,,,,,,,2024 Mercedes EQE 500 4MATIC,,,,,,,,,,,,,,,2024 Mercedes EQE 500 4MATIC,,,,,,,,,,,,,, ,,2024 Mercedes EQE 500 4MATIC,,,,,, ,,,,,,,,,,2024 Mercedes EQE 500 4MATIC,,,,,,,,,,,,,,,,,2024 Mercedes EQE 500 4MATIC,,,,,,,,,,,,,,,,,2024 Mercedes EQE 500 4MATIC,,,,,,,,,,,,,, ,2024 Mercedes EQE 500 4MATIC,,,,,,,,,,,,,,,2024 Mercedes EQE 500 4MATIC,,,,,,,,,
2024,Mercedes-Benz,Mercedes-Benz,EQE 500 4MATIC,MBX,912,0.0,,Auto(A1),98,94,96,141.4,136.1,138.9648,98,94,96,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,298,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,101,11,,,800,800,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 2-cycle label,10/24/2023,34125,,,N,,,N,N,,,,,,,,Battery(s),,10,Lithium Ion,,328,271,162.6,On-Board,,,Electrical Regen Brake,,Both,Y,,,,,2,Other,AC 6 Phase permanent magnet,100 and 200,,,,,N,Y,,,Y,Yes,EQE 500 4Matic,,,,,,,,,,10,10,,RMBXV00.0E13,10,,,,,,,,,,,,,,,5750,,0,0,0,,10.5,,,,,,302,293,298,
2024,Mercedes-Benz,Mercedes-Benz,EQE 500 4MATIC,MBX,912,0.0,,Auto(A1),34,35,35,23.8397,24.7598,24.2538,35,36,34.6491,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,298,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,101,11,,,800,800,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 2-cycle label,10/24/2023,34125,,,N,,,N,N,,,,,,,,Battery(s),,10,Lithium Ion,,328,271,162.6,On-Board,,,Electrical Regen Brake,,Both,Y,,,,,2,Other,AC 3 Phase permanent magnet,100 and 200,,,,,N,Y,,,Y,Yes,EQE 500 4Matic,,,,,,,,,,10,10,,RMBXV00.0E13,10,,,,,,,,,,,,,,,5750,,0,0,0,,10.5,,,,,,302,293,298,
,,,,,,,,,,,,2024 Mercedes AMG EQS 4MATIC+,,,,,,,,,,,,,,,,,2024 Mercedes AMG EQS 4MATIC+,,,,,,,,,,,,,,,,2024 Mercedes AMG EQS 4MATIC+,,,,,,,,,,,,,,,2024 Mercedes AMG EQS 4MATIC+,,,,,,,,,,,,,, ,,2024 Mercedes AMG EQS 4MATIC+,,,,,, ,,,,,,,,,,2024 Mercedes AMG EQS 4MATIC+,,,,,,,,,,,,,,,,,2024 Mercedes AMG EQS 4MATIC+,,,,,,,,,,,,,,,,,2024 Mercedes AMG EQS 4MATIC+,,,,,,,,,,,,,, ,2024 Mercedes AMG EQS 4MATIC+,,,,,,,,,,,,,,,2024 Mercedes AMG EQS 4MATIC+,,,,,,,,,
2024,Mercedes-Benz,Mercedes-Benz,AMG EQS 4MATIC+,MBX,900,0.0,,Auto(A1),79,85,82,110.9,119.2,114.4873,79,85,82,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,305,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,103,35,,,900,900,,,,,,,,,,,,,,,,,,,,,,,6,Large Cars,car,Electric Vehicle 2-cycle label,9/1/2023,34113,,,N,,,N,N,,,,,,,,Battery(s),,12,Lithium Ion,,396,282,161.6,On-Board,,,Electrical Regen Brake,,Both,Y,,,,,2,Other,AC 6 Phase permanent magnet,310 and 310,,,,,N,Y,,,Y,Yes,AMG EQS 4MATIC+,,,,,,,,,,9,10,,RMBXV00.0ED3,10,,,,,,,,,,,,,,,5250,,0,0,0,,12.75,,,,,,295,317,305,
2024,Mercedes-Benz,Mercedes-Benz,AMG EQS 4MATIC+,MBX,900,0.0,,Auto(A1),42,39,41,30.382,28.284,29.4379,42,39,41,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,305,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,103,35,,,900,900,,,,,,,,,,,,,,,,,,,,,,,6,Large Cars,car,Electric Vehicle 2-cycle label,9/1/2023,34113,,,N,,,N,N,,,,,,,,Battery(s),,12,Lithium Ion,,396,282,161.6,On-Board,,,Electrical Regen Brake,,Both,Y,,,,,2,Other,AC 6 Phase permanent magnet,310 and 310,,,,,N,Y,,,Y,Yes,AMG EQS 4MATIC+,,,,,,,,,,9,10,,RMBXV00.0ED3,10,,,,,,,,,,,,,,,5250,,0,0,0,,12.75,,,,,,295,317,305,
,,,,,,,,,,,,2024 Mercedes EQS 450 4MATIC,,,,,,,,,,,,,,,,,2024 Mercedes EQS 450 4MATIC,,,,,,,,,,,,,,,,2024 Mercedes EQS 450 4MATIC,,,,,,,,,,,,,,,2024 Mercedes EQS 450 4MATIC,,,,,,,,,,,,,, ,,2024 Mercedes EQS 450 4MATIC,,,,,, ,,,,,,,,,,2024 Mercedes EQS 450 4MATIC,,,,,,,,,,,,,,,,,2024 Mercedes EQS 450 4MATIC,,,,,,,,,,,,,,,,,2024 Mercedes EQS 450 4MATIC,,,,,,,,,,,,,, ,2024 Mercedes EQS 450 4MATIC,,,,,,,,,,,,,,,2024 Mercedes EQS 450 4MATIC,,,,,,,,,
2024,Mercedes-Benz,Mercedes-Benz,EQS 450 4MATIC,MBX,905,0.0,,Auto(A1),93,98,95,126.3,133.3,129.3568,93,98,95,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,345,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,103,35,,,800,800,,,,,,,,,,,,,,,,,,,,,,,6,Large Cars,car,Electric Vehicle 2-cycle label,10/25/2023,34122,,,N,,,N,N,,,,,,,,Battery(s),,12,Lithium Ion,,396,272,161.6,On-Board,,,Electrical Regen Brake,,Both,Y,,,,EQS 580 4MATIC: AC 3 Phase permanent magnet = 135 KW/ AC 6 Phase permanent magnet = 265 KW ; EQS 450 4MATIC: AC 3 Phase permanent magnet = 88 KW/ AC 6 Phase permanent magnet = 178 KW,2,Other,AC 3 Phase permanent magnet,135 and 135,,,,,N,Y,,,Y,Yes,EQS 450 4MATIC,,,,,,,,,,10,10,,RMBXV00.0ED2,10,,,,,,,,,,,,,,,5750,,0,0,0,,12.75,,,,,,337,355,345,
2024,Mercedes-Benz,Mercedes-Benz,EQS 450 4MATIC,MBX,905,0.0,,Auto(A1),36,34,35,26.68,25.28,26.0468,36,34,35,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,345,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,103,35,,,800,800,,,,,,,,,,,,,,,,,,,,,,,6,Large Cars,car,Electric Vehicle 2-cycle label,10/25/2023,34122,,,N,,,N,N,,,,,,,,Battery(s),,12,Lithium Ion,,396,272,161.6,On-Board,,,Electrical Regen Brake,,Both,Y,,,,EQS 580 4MATIC: AC 3 Phase permanent magnet = 135 KW/ AC 6 Phase permanent magnet = 265 KW ; EQS 450 4MATIC: AC 3 Phase permanent magnet = 88 KW/ AC 6 Phase permanent magnet = 178 KW,2,Other,AC 3 Phase permanent magnet,135 and 135,,,,,N,Y,,,Y,Yes,EQS 450 4MATIC,,,,,,,,,,10,10,,RMBXV00.0ED2,10,,,,,,,,,,,,,,,5750,,0,0,0,,12.75,,,,,,337,355,345,
,,,,,,,,,,,,2024 Mercedes EQS 450+,,,,,,,,,,,,,,,,,2024 Mercedes EQS 450+,,,,,,,,,,,,,,,,2024 Mercedes EQS 450+,,,,,,,,,,,,,,,2024 Mercedes EQS 450+,,,,,,,,,,,,,, ,,2024 Mercedes EQS 450+,,,,,, ,,,,,,,,,,2024 Mercedes EQS 450+,,,,,,,,,,,,,,,,,2024 Mercedes EQS 450+,,,,,,,,,,,,,,,,,2024 Mercedes EQS 450+,,,,,,,,,,,,,, ,2024 Mercedes EQS 450+,,,,,,,,,,,,,,,2024 Mercedes EQS 450+,,,,,,,,,
2024,Mercedes-Benz,Mercedes-Benz,EQS 450+,MBX,901,0.0,,Auto(A1),95,98,96,135.9,140.4,137.8888,95,98,96,,,,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",,,352,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,103,35,,,800,800,,,,,,,,,,,,,,,,,,,,,,,6,Large Cars,car,Electric Vehicle 2-cycle label,10/24/2023,34118,,,N,,,N,N,,,,,,,,Battery(s),,12,Lithium Ion,,396,282,161,On-Board,,,Electrical Regen Brake,,Rear Wheels,Y,,,,Increased Motor Power (265 kW),1,Other,AC 6 Phase permanent magnet,265,,,,,N,Y,,,Y,Yes,EQS 450+,,,,,,,,,,10,10,,RMBXV00.0ED1,10,,,,,,,,,,,,,,,5750,,0,0,0,,12.5,,,,,,342,364,352,
2024,Mercedes-Benz,Mercedes-Benz,EQS 450+,MBX,901,0.0,,Auto(A1),36,34,35,24.7954,23.9993,24.4372,36,33.8357,35,,,,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",,,352,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,103,35,,,800,800,,,,,,,,,,,,,,,,,,,,,,,6,Large Cars,car,Electric Vehicle 2-cycle label,10/24/2023,34118,,,N,,,N,N,,,,,,,,Battery(s),,12,Lithium Ion,,396,282,161,On-Board,,,Electrical Regen Brake,,Rear Wheels,Y,,,,Increased Motor Power (265 kW),1,Other,AC 6 Phase permanent magnet,265,,,,,N,Y,,,Y,Yes,EQS 450+,,,,,,,,,,10,10,,RMBXV00.0ED1,10,,,,,,,,,,,,,,,5750,,0,0,0,,12.5,,,,,,342,364,352,
